,MV_CODING_AVG_HEAD,MV_CODING_MH_ATTN_LR0001,MV_CODING_MH_ATTN_LR001,TRIPLET_HARD_NEG_AVG_HEAD,HYPERSPHERIC_1_1,HYPERSPHERIC_UNIF_875,HYPERSPHERIC_UNIF_75,HYPERSPHERIC_UNIF_50,MV_CODING_AVG_ANCHOR,MV_CODING_AVG_OTHERS_CONTRAST,HYPERSPHERIC_UNIF_75_AVG_ANCHOR,HYPERSPHERIC_UNIF_75_AVG_OTHERS_CONSTRAST,TRIPLET_HARD_NEG_AVG_ANCHOR,TRIPLET_HARD_NEG_AVG_OTHERS_CONTRAST
Description,,,,,,,,,,,,,,
Best Epoch,24,16,1,36,19,34,16,0,37,23,47,55,6,29
eng&img_dot_avg_r1,20.35%,12.70%,0.20%,16.40%,0.10%,0.10%,2.90%,0.10%,0.10%,13.05%,0.15%,0.15%,0.10%,11.65%
eng&img_dot_avg_r5,47.95%,33.60%,0.95%,39.20%,0.60%,0.40%,12.65%,0.50%,0.45%,31.80%,0.35%,0.40%,0.45%,31.50%
eng&img_dot_avg_r10,59.35%,45.85%,2.15%,51.55%,1.20%,0.95%,22.55%,1.00%,0.80%,44.55%,0.90%,1.05%,1.40%,43.60%
hin&img_dot_avg_r1,17.00%,10.00%,0.10%,12.95%,0.10%,0.15%,3.15%,0.10%,0.00%,12.30%,0.35%,0.10%,0.00%,9.30%
hin&img_dot_avg_r5,38.85%,26.75%,0.70%,32.65%,0.45%,0.75%,12.10%,0.50%,0.40%,25.90%,0.70%,0.40%,0.55%,25.10%
hin&img_dot_avg_r10,50.00%,37.15%,1.70%,43.55%,0.85%,1.10%,20.95%,1.00%,0.60%,34.60%,1.05%,0.90%,0.95%,34.45%
jap&img_dot_avg_r1,27.75%,21.10%,0.30%,22.70%,0.05%,0.05%,3.70%,0.10%,0.05%,25.20%,0.05%,0.05%,0.05%,20.15%
jap&img_dot_avg_r5,61.15%,50.00%,1.75%,53.15%,0.50%,0.25%,15.20%,0.50%,0.35%,55.55%,0.70%,0.35%,0.50%,48.50%
jap&img_dot_avg_r10,74.55%,63.65%,3.75%,67.05%,1.35%,0.75%,26.70%,1.00%,0.75%,67.95%,1.35%,1.00%,0.95%,62.95%
hin&eng_dot_avg_r1,17.00%,10.00%,0.10%,9.65%,0.10%,0.15%,1.75%,0.10%,0.05%,8.45%,0.50%,1.50%,0.05%,6.55%
hin&eng_dot_avg_r5,38.85%,26.75%,0.70%,23.35%,1.00%,0.80%,8.10%,0.50%,0.35%,21.70%,1.35%,6.50%,0.50%,17.05%
hin&eng_dot_avg_r10,50.00%,37.15%,1.70%,32.85%,2.45%,1.50%,13.95%,1.00%,0.70%,30.75%,3.05%,12.10%,1.10%,24.85%
jap&eng_dot_avg_r1,27.75%,21.10%,0.30%,8.05%,0.10%,0.10%,1.40%,0.10%,0.15%,8.65%,0.05%,0.05%,0.20%,5.45%
jap&eng_dot_avg_r5,61.15%,50.00%,1.75%,24.70%,0.45%,0.65%,10.75%,0.50%,0.60%,25.15%,0.40%,0.55%,0.55%,19.25%
jap&eng_dot_avg_r10,74.55%,63.65%,3.75%,35.85%,0.85%,1.30%,20.00%,1.00%,1.80%,35.35%,0.95%,1.00%,1.30%,27.75%
hin&jap_dot_avg_r1,17.00%,10.00%,0.10%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
hin&jap_dot_avg_r5,38.85%,26.75%,0.70%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
hin&jap_dot_avg_r10,50.00%,37.15%,1.70%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
eng&img_cos_avg_r1,20.20%,11.45%,0.10%,12.00%,0.05%,0.00%,8.30%,0.05%,0.10%,7.05%,0.05%,0.15%,0.10%,11.05%
eng&img_cos_avg_r5,47.25%,33.25%,0.90%,32.80%,0.55%,0.50%,25.20%,0.35%,0.30%,26.15%,0.30%,0.80%,0.60%,28.90%
eng&img_cos_avg_r10,59.35%,45.95%,1.90%,45.40%,1.40%,1.05%,36.95%,0.90%,0.75%,38.35%,0.80%,1.40%,1.60%,40.95%
hin&img_cos_avg_r1,16.65%,9.35%,0.05%,9.25%,0.10%,0.10%,7.85%,0.10%,0.00%,7.50%,0.20%,0.05%,0.05%,8.20%
hin&img_cos_avg_r5,38.50%,26.40%,0.75%,26.45%,0.45%,0.50%,23.10%,0.50%,0.45%,16.35%,0.80%,0.55%,0.50%,23.35%
hin&img_cos_avg_r10,49.45%,36.40%,1.65%,38.40%,0.70%,1.25%,33.75%,0.90%,0.75%,21.75%,1.45%,1.20%,1.00%,34.00%
jap&img_cos_avg_r1,27.55%,19.85%,0.35%,15.45%,0.10%,0.00%,9.00%,0.05%,0.00%,21.30%,0.30%,0.10%,0.05%,16.90%
jap&img_cos_avg_r5,61.30%,49.05%,1.50%,44.40%,0.80%,0.40%,30.55%,0.40%,0.35%,47.85%,0.70%,0.25%,0.50%,46.60%
jap&img_cos_avg_r10,74.75%,62.90%,3.55%,59.75%,1.40%,1.10%,43.65%,0.95%,0.65%,59.65%,1.10%,0.85%,0.85%,60.40%
hin&eng_cos_avg_r1,16.65%,9.35%,0.05%,6.60%,0.20%,0.25%,5.90%,0.05%,0.10%,5.05%,0.50%,1.10%,0.15%,3.25%
hin&eng_cos_avg_r5,38.50%,26.40%,0.75%,16.95%,1.25%,1.20%,18.00%,0.50%,0.45%,13.60%,1.35%,6.20%,0.60%,9.25%
hin&eng_cos_avg_r10,49.45%,36.40%,1.65%,22.95%,2.00%,3.00%,27.05%,1.00%,0.65%,19.50%,2.70%,11.40%,0.80%,13.90%
jap&eng_cos_avg_r1,27.55%,19.85%,0.35%,6.35%,0.00%,0.15%,6.90%,0.05%,0.20%,6.40%,0.05%,0.10%,0.10%,3.85%
jap&eng_cos_avg_r5,61.30%,49.05%,1.50%,19.05%,0.20%,0.95%,21.30%,0.30%,0.75%,17.75%,0.60%,0.45%,0.80%,13.45%
jap&eng_cos_avg_r10,74.75%,62.90%,3.55%,26.70%,0.55%,1.60%,33.95%,0.95%,1.30%,24.95%,1.10%,1.15%,1.70%,19.35%
hin&jap_cos_avg_r1,16.65%,9.35%,0.05%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
