,MV_CODING_IMG_ANCHOR_NOT_FIN,MV_CODING_AVG_HEAD_REDO,MV_CODING_NO_IMG_PRETRAIN_NOT_FIN,MV_CODING_MH_ATTN_0001_REDO_NOT_FIN,MV_CODING_MH_ATTN_001_REDO,TRIPLET_HARD_NEG_AVG_HEAD,HYPERSPHERIC_1_1,HYPERSPHERIC_UNIF_875,HYPERSPHERIC_UNIF_75,HYPERSPHERIC_UNIF_50,MV_CODING_AVG_ANCHOR,MV_CODING_AVG_OTHERS_CONTRAST,HYPERSPHERIC_UNIF_75_AVG_ANCHOR,HYPERSPHERIC_UNIF_75_AVG_OTHERS_CONSTRAST,TRIPLET_HARD_NEG_AVG_ANCHOR,TRIPLET_HARD_NEG_AVG_OTHERS_CONTRAST
Description,,,,,,,,,,,,,,,,
Best Epoch,16,26,30,15,1,36,19,34,16,0,37,23,47,55,6,29
eng&img_dot_avg_r1,19.55%,18.05%,6.65%,14.10%,0.25%,16.40%,0.10%,0.10%,2.90%,0.10%,0.10%,13.05%,0.15%,0.15%,0.10%,11.65%
eng&img_dot_avg_r5,44.00%,41.55%,20.95%,34.20%,0.70%,39.20%,0.60%,0.40%,12.65%,0.50%,0.45%,31.80%,0.35%,0.40%,0.45%,31.50%
eng&img_dot_avg_r10,57.65%,54.55%,30.80%,45.70%,1.55%,51.55%,1.20%,0.95%,22.55%,1.00%,0.80%,44.55%,0.90%,1.05%,1.40%,43.60%
hin&img_dot_avg_r1,16.55%,14.70%,6.85%,9.70%,0.05%,12.95%,0.10%,0.15%,3.15%,0.10%,0.00%,12.30%,0.35%,0.10%,0.00%,9.30%
hin&img_dot_avg_r5,37.85%,36.10%,21.35%,27.40%,1.15%,32.65%,0.45%,0.75%,12.10%,0.50%,0.40%,25.90%,0.70%,0.40%,0.55%,25.10%
hin&img_dot_avg_r10,47.10%,45.85%,31.10%,37.70%,1.75%,43.55%,0.85%,1.10%,20.95%,1.00%,0.60%,34.60%,1.05%,0.90%,0.95%,34.45%
jap&img_dot_avg_r1,26.30%,28.00%,7.50%,18.70%,0.15%,22.70%,0.05%,0.05%,3.70%,0.10%,0.05%,25.20%,0.05%,0.05%,0.05%,20.15%
jap&img_dot_avg_r5,58.90%,59.20%,24.00%,46.85%,1.10%,53.15%,0.50%,0.25%,15.20%,0.50%,0.35%,55.55%,0.70%,0.35%,0.50%,48.50%
jap&img_dot_avg_r10,72.70%,72.35%,35.25%,62.15%,2.10%,67.05%,1.35%,0.75%,26.70%,1.00%,0.75%,67.95%,1.35%,1.00%,0.95%,62.95%
hin&eng_dot_avg_r1,0.95%,11.55%,7.15%,7.60%,0.20%,9.65%,0.10%,0.15%,1.75%,0.10%,0.05%,8.45%,0.50%,1.50%,0.05%,6.55%
hin&eng_dot_avg_r5,4.40%,27.25%,20.20%,20.85%,1.65%,23.35%,1.00%,0.80%,8.10%,0.50%,0.35%,21.70%,1.35%,6.50%,0.50%,17.05%
