,MV_CODING_AVG_HEAD_REDO,SHARED_AUDIO_ENC_BASIC,SHARED_CHANNEL_LANG_EMBED,SHARED_SEQ_LANG_EMBED_NOT_FIN
Description,,,,
Best Epoch,26,19,11,17
eng&img_dot_avg_r1,18.05%,11.35%,2.30%,7.35%
eng&img_dot_avg_r5,41.55%,31.05%,8.40%,22.50%
eng&img_dot_avg_r10,54.55%,42.70%,12.80%,32.10%
hin&img_dot_avg_r1,14.70%,7.40%,2.20%,4.40%
hin&img_dot_avg_r5,36.10%,21.20%,8.65%,14.10%
hin&img_dot_avg_r10,45.85%,29.70%,13.45%,20.20%
jap&img_dot_avg_r1,28.00%,8.60%,2.25%,4.60%
jap&img_dot_avg_r5,59.20%,25.85%,7.60%,16.45%
jap&img_dot_avg_r10,72.35%,35.60%,12.25%,23.20%
hin&eng_dot_avg_r1,11.55%,2.25%,0.20%,1.55%
hin&eng_dot_avg_r5,27.25%,8.35%,1.55%,6.85%
hin&eng_dot_avg_r10,37.55%,14.10%,3.10%,11.00%
jap&eng_dot_avg_r1,11.40%,2.80%,0.30%,1.75%
jap&eng_dot_avg_r5,29.00%,10.05%,1.50%,6.60%
jap&eng_dot_avg_r10,41.30%,15.45%,2.95%,10.00%
jap&hin_dot_avg_r1,10.50%,1.35%,0.15%,1.50%
jap&hin_dot_avg_r5,27.30%,5.80%,1.20%,5.45%
jap&hin_dot_avg_r10,36.80%,10.40%,1.65%,8.45%
eng&img_cos_avg_r1,17.70%,11.65%,2.35%,7.30%
eng&img_cos_avg_r5,41.80%,31.35%,8.50%,22.45%
eng&img_cos_avg_r10,54.65%,42.30%,12.85%,32.25%
hin&img_cos_avg_r1,14.65%,7.90%,2.45%,4.45%
hin&img_cos_avg_r5,36.00%,21.25%,8.40%,13.35%
hin&img_cos_avg_r10,45.60%,29.95%,12.75%,20.30%
jap&img_cos_avg_r1,28.70%,8.45%,2.40%,4.65%
jap&img_cos_avg_r5,59.40%,25.00%,7.55%,16.10%
jap&img_cos_avg_r10,73.25%,36.05%,13.00%,23.50%
hin&eng_cos_avg_r1,7.95%,3.10%,0.25%,2.25%
hin&eng_cos_avg_r5,21.30%,9.05%,1.45%,7.30%
hin&eng_cos_avg_r10,30.90%,13.85%,2.70%,11.25%
jap&eng_cos_avg_r1,8.85%,3.10%,0.25%,2.45%
jap&eng_cos_avg_r5,23.65%,9.15%,1.30%,8.25%
jap&eng_cos_avg_r10,32.65%,14.25%,2.45%,12.35%
jap&hin_cos_avg_r1,7.55%,2.00%,0.10%,1.80%
jap&hin_cos_avg_r5,20.50%,6.60%,1.10%,4.75%
jap&hin_cos_avg_r10,28.55%,9.75%,2.00%,8.55%
