,MV_CODING_AVG_HEAD,MV_CODING_MH_ATTN_LR0001,MV_CODING_MH_ATTN_LR001
Description,,,
eng&img_dot_avg_r1,19.25%,12.20%,0.15%
eng&img_dot_avg_r5,46.20%,35.15%,0.50%
eng&img_dot_avg_r10,59.45%,47.50%,1.00%
hin&img_dot_avg_r1,17.20%,9.50%,0.10%
hin&img_dot_avg_r5,37.35%,27.20%,0.50%
hin&img_dot_avg_r10,47.30%,37.75%,1.00%
jap&img_dot_avg_r1,29.25%,20.55%,0.10%
jap&img_dot_avg_r5,60.15%,49.85%,0.50%
jap&img_dot_avg_r10,73.05%,62.40%,1.00%
hin&eng_dot_avg_r1,17.20%,9.50%,0.10%
hin&eng_dot_avg_r5,37.35%,27.20%,0.50%
hin&eng_dot_avg_r10,47.30%,37.75%,1.00%
jap&eng_dot_avg_r1,29.25%,20.55%,0.10%
jap&eng_dot_avg_r5,60.15%,49.85%,0.50%
jap&eng_dot_avg_r10,73.05%,62.40%,1.00%
hin&jap_dot_avg_r1,17.20%,9.50%,0.10%
hin&jap_dot_avg_r5,37.35%,27.20%,0.50%
hin&jap_dot_avg_r10,47.30%,37.75%,1.00%
eng&img_cos_avg_r1,18.85%,11.75%,0.10%
eng&img_cos_avg_r5,45.15%,34.85%,0.45%
eng&img_cos_avg_r10,58.80%,47.30%,1.00%
hin&img_cos_avg_r1,16.55%,8.60%,0.15%
hin&img_cos_avg_r5,37.30%,26.55%,0.50%
hin&img_cos_avg_r10,47.15%,36.90%,1.00%
jap&img_cos_avg_r1,28.10%,19.65%,0.10%
jap&img_cos_avg_r5,60.50%,49.80%,0.50%
jap&img_cos_avg_r10,72.60%,61.95%,0.95%
hin&eng_cos_avg_r1,16.55%,8.60%,0.15%
hin&eng_cos_avg_r5,37.30%,26.55%,0.50%
hin&eng_cos_avg_r10,47.15%,36.90%,1.00%
jap&eng_cos_avg_r1,28.10%,19.65%,0.10%
jap&eng_cos_avg_r5,60.50%,49.80%,0.50%
jap&eng_cos_avg_r10,72.60%,61.95%,0.95%
hin&jap_cos_avg_r1,16.55%,8.60%,0.15%
hin&jap_cos_avg_r5,37.30%,26.55%,0.50%
hin&jap_cos_avg_r10,47.15%,36.90%,1.00%
